,0,1,2
0,Table 503-33,Regulatory limits (adapted from U.S. EPA 1995) and mean concentrations measured in biosolids from the National Sewage Sludge Survey (U.S. EPA 1990) and a survey of 12 Pennsylvania POTWs between 1993 and 1997,503-67
1,Table 503-34,Examples of estimated plant available percentage of ammonia from biosolids,503-71
2,Table 503-35,Examples of estimated plant available percentage of ammonia from biosolids,503-71
3,Table 503-36,Nutrient content of selected crop residues,503-76
4,Table 503-37,Legume groups and associated rhizobia,503-77
5,Table 503-38,Estimated nitrogen fixation rate (lb/a/year)-selected legumes,503-77
6,Table 503-39,Characteristics of selected solid waste materials,503-78
7,Table 503-40,Common conversions for soil test units,503-84
8,Table 503-41,Example of definitions for soil test interpretation categories,503-86
9,Table 503-42,Converting between elemental and oxide forms of phosphorus (P) and potassium (K),503-98
10,Table 503-43,Potential adverse environmental and health impacts of N,503-99
11,Table 503-44,Calculated average daily intake of NO 3 - -N and NO 2 - -N by persons living in the United States,503-100
12,Table 503-45,Example WIN-PST Output,503-116
13,Table 503-46,Mitigation index scores needed based on hazard rating,503-117
14,Table 503-47,IPM techniques for reducing pesticide environmental R,503-121
15,Table 503-48,Conservation practices for reducing pesticide environmental risk,503-123
