Crop,Critical period,Comments
Alfalfa,"At seedling stage for new seedlings, just after cutting for hay, and at start of flowering stage for seed production","Any moisture stress during growth period reduces yield Soil moisture is generally reduced immediately before and during cutting, drying, and hay collecting"
"Beans, dry",Flowering through pod formation,
Broccoli,During head formation and enlargement,
Cabbage,During head formation and enlargement,
Cauliflower,During entire growing season,
Cane berries,Blossom through harvest,
Citrus,During entire growing season,Blossom and next season fruit set occurs during harvest of the previous crop
"Corn, grain",From tasseling through silk stage and kernels become firm,Needs adequate moisture from germination until kernel dent stage for maximum production. Depletion of 80% or more of AWC can occur during final ripening period without impacting yield
"Corn, silage",From tasseling through silk stage and kernels become firm,Needs adequate moisture from germination until kernel dent stage for maximum production
"Corn, sweet",From tasseling through silk stage and until ker- nels become firm,
Cotton,First blossom through boll maturing stage,"Any moisture stress, even temporary, ceases blossom formation and boll set for at least 15 days after moisture again becomes available"
Cranberries,Blossom through fruit sizing,
Fruit trees,"During the initiation and early development period of flower buds, the flowering and fruit setting period (may be the previous year), the fruit growing and enlarging period, and the pre- harvest period",Stone fruits are especially sensitive to moisture stress during last two weeks before harvest
"Grain, small","During boot, bloom, milk stage, early head de- velopment and early ripening stages",Critical period for malting barley is at soft dough stage to maintain a quality kernel
Grapes,"All growth periods, especially during fruit filling",See vine crops
Peanuts,Full Season,
Lettuce,Head enlargement to harvest,Water shortage results in a sour and strong lettuce
Melons,Blossom through harvest,
Milo,"Secondary rooting and tillering to boot stage, heading, flowering, and grain formation through filling",
"Onions, dry","During bulb formation, near harvest",
"Onions, green",Blossom through harvest stress,Strong and hot onions can result from moisture
Nut trees,"During flower initiation period, fruit set, and mid-season growth",Pre-harvest period is not critical because nuts form during mid-season period
Pasture,During establishment and boot stage to head formation,
