0,1,2
Table 503-43,Potential adverse environmental and health impacts of N,Potential adverse environmental and health impacts of N
Impact,Impact,Causative agents
Human health,Human health,
Methemoglobinemia in infants,Methemoglobinemia in infants,Excess nitrate (NO 3 - ) and nitrite (NO 2 - ) in water and food
Cancer,Cancer,"Nitrosamines from NO 2 - , secondary amines"
Respiratory Illness,Respiratory Illness,"Peroxyacyl nitrates, alkyl nitrates, NO 3 - aerosols, NO 2 - , HNO 3 vapor in urban atmo- spheres"
Animal health,Animal health,
Environment,Environment,Excess NO 2 - in feed and water
Eutrophication,Eutrophication,Inorganic and organic nitrogen in surface waters
Materials and ecosystem damage,Materials and ecosystem damage,HNO 3 aerosols in rainfall
Plant toxicity,Plant toxicity,High levels of NO 2 - in soils
Excessive plant growth,Excessive plant growth,Excessive available N
Stratospheric ozone depletion,Stratospheric ozone depletion,"Nitrous oxide from nitrification, denitrification , stack emissions"
