0,1
A factor,The computed longtime average annual soil loss carried by runoff from specific field slopes in specified cropping and management systems. It is expressed in the RUSLE2 model in tons/acre/year.
Abrasion,"Breakdown of clods, crusts, and plant material by the impact of particles moved by wind in saltation. The impacting particles may also abrade. Abrasion causes soil aggregates to break down progressively as wind ero- sion continues."
Accelerated erosion,"Erosion of soil resulting from disturbance of the natural landscape. It results largely from the consequences of human activity, such as tillage, grazing, and removal of vegetative cover."
Adsorption,"The process by which atoms, molecules, or ions are taken up from the soil solution or soil atmosphere and retained on the surfaces of solids by chemical or physical binding."
Aggregate stability,"The ability of a soil aggregate to resist various destructive forces, such as tillage, abrasion by wind or flowing water, or raindrop force."
"Aggregation, soil","The cementing or binding together of primary soil particles (sand, silt, and clay) into a secondary unit, which unit contributes to the soil structure."
Agronomic rate,"The rate at which fertilizers, organic wastes or other amendments can be added to soils for optimum plant growth."
Air-dry weight,Weight of a substance after it has been allowed to dry to equilibrium with the atmosphere.
Amendment,"A substance added to the soil to improve plant growth, such as lime."
Allelopathy,Production of a substance by one organism that inhibits one or more other organisms.
Angle of deviation,"The angle between prevailing wind erosion direction and a line perpendic- ular to: (1) the long side of the field or strip, when determining unsheltered distance using a wind erosion direction factor, or (2) row direction when determining effect of wind direction on the ridge roughness factor."
Available water holding capacity,"The capacity of a soil to hold water in a form available to plants, usually expressed in inches of water per inch of soil depth. Commonly defined as the amount of water held between field capacity and wilting point."
Avalanching,The increase in rate of soil flow with distance downwind across an area being eroded by wind.
Biomass,"The total mass of living organisms in a given volume or mass of soil, or in a particular environment."
Biochemical oxygen demand (BOD),"The amount of oxygen required by aerobic organisms to carry out oxida- tive metabolism in water containing organic matter, such as sewage. BOD is used as an indirect measure of the concentration of biologically degrad- able material present in organic wastes. Also known as Biological Oxygen Demand."
Bioremediation,The use of biological agents to reclaim soil and water polluted by sub- stances hazardous to the environment or human health.
